nomor;provinsi;kabupaten;nama_perusahaan;status;negara;tahun;triwulan;alamat_perusahaan;email;referensi_izin;kode;keterangan;nama_sektor;nilai_investasi_dalam_rupiah;nilai_investasi_dalam_dollar;jumlah_tenaga_kerja_indonesia
14;Jawa Timur;Probolinggo;FAJAR UNGGUL KARUNIA;PMA;R.R. Tiongkok;2022;4;Jalan Sukapura KM.8;karuniafuk888@gmail.com;9120004672552;16;Industri kayu, barang dari kayu dan gabus (tidak termasuk furnitur) dan barang anyaman dari bambu, rotan dan sejenisnya;Industri Kayu;0;0;0
15;Jawa Timur;Probolinggo;GUDANG GARAM;PMDN;Indonesia;2022;1;JL. SEMAMPIR II/1, SEMAMPIR;nyoman.samadhi@gudanggaramtbk.com;8120000961884;12;Industri pengolahan tembakau;Industri Makanan;0;0;0
16;Jawa Timur;Probolinggo;HADEKA FEEDMILL;PMDN;Indonesia;2022;1;DUSUN LEGOK;fennyWij55@gmail.com;9120107341556;10;Industri makanan;Industri Makanan;0;0;0
17;Jawa Timur;Probolinggo;HADEKA FEEDMILL;PMDN;Indonesia;2022;1;DUSUN LEGOK;fennyWij55@gmail.com;9120107341556;10;Industri bahan kimia dan barang dari bahan kimia;Industri Kimia Dan Farmasi;0;0;0
18;Jawa Timur;Probolinggo;HADEKA FEEDMILL;PMDN;Indonesia;2022;2;DUSUN LEGOK;fennyWij55@gmail.com;9120107341556;10;Industri makanan;Industri Makanan;0;0;0
19;Jawa Timur;Probolinggo;HADEKA FEEDMILL;PMDN;Indonesia;2022;2;DUSUN LEGOK;fennyWij55@gmail.com;9120107341556;10;Industri bahan kimia dan barang dari bahan kimia;Industri Kimia Dan Farmasi;0;0;0
20;Jawa Timur;Probolinggo;HADEKA FEEDMILL;PMDN;Indonesia;2022;3;DUSUN LEGOK;fennyWij55@gmail.com;9120107341556;10;Industri makanan;Industri Makanan;0;0;0
21;Jawa Timur;Probolinggo;HADEKA FEEDMILL;PMDN;Indonesia;2022;3;DUSUN LEGOK;fennyWij55@gmail.com;9120107341556;20;Industri bahan kimia dan barang dari bahan kimia;Industri Kimia Dan Farmasi;0;0;0
22;Jawa Timur;Probolinggo;HADEKA FEEDMILL;PMDN;Indonesia;2022;4;DUSUN LEGOK;fennyWij55@gmail.com;9120107341556;20;Industri bahan kimia dan barang dari bahan kimia;Industri Kimia Dan Farmasi;0;0;0
23;Jawa Timur;Probolinggo;HANJAYA MANDALA SAMPOERNA;PMDN;Indonesia;2022;1;JALAN RUNGKUT INDUSTRI RAYA NOMOR 18;yohanes.sinembadan@sampoerna.com;8120111282872;12;Industri pengolahan tembakau;Industri Makanan;0;0;0
24;Jawa Timur;Probolinggo;HANJAYA MANDALA SAMPOERNA TBK.;PMDN;Indonesia;2022;2;JL. Rungkut Industri Raya Nomor 18;yohanes.sinembadan@sampoerna.com;8120111282872;12;Industri pengolahan tembakau;Industri Makanan;2779200000;193672;0
25;Jawa Timur;Probolinggo;HANJAYA MANDALA SAMPOERNA TBK.;PMDN;Indonesia;2022;4;JL. Rungkut Industri Raya Nomor 18;yohanes.sinembadan@sampoerna.com;8120111282872;12;Industri pengolahan tembakau;Industri Makanan;0;0;0
26;Jawa Timur;Probolinggo;INDOCITRA MARINE PRIMA;PMDN;Indonesia;2022;2;Dusun Cabean;imp.culture@gmail.com;220006410166;3;Perikanan;Perikanan;1500000000;104529;0
27;Jawa Timur;Probolinggo;INDOMARCO PRISMATAMA;PMDN;Indonesia;2022;1;Jalan Ancol Barat I Nomor 9-10, Kelurahan Ancol, Kecamatan Pademangan;dbmadm@jbr.indomaret.co.id;8120200992113;47;Perdagangan eceran, bukan mobil dan motor;Perdagangan dan Reparasi;0;0;0
28;Jawa Timur;Probolinggo;INDOMARCO PRISMATAMA;PMDN;Indonesia;2022;2;Jalan Ancol Barat I Nomor 9-10;dbmadm@jbr.indomaret.co,id;8120200992113;47;Perdagangan eceran, bukan mobil dan motor;Perdagangan dan Reparasi;1000000;70;0
29;Jawa Timur;Probolinggo;INDOMARCO PRISMATAMA;PMDN;Indonesia;2022;2;Jalan Ancol Barat I Nomor 9-10;dbmadm@jbr.indomaret.co.id;8120200992113;47;Perdagangan eceran, bukan mobil dan motor;Perdagangan dan Reparasi;300000;21;21
30;Jawa Timur;Probolinggo;INDOMARCO PRISMATAMA;PMDN;Indonesia;2022;3;Jalan Ancol Barat I Nomor 9-10;dbmadm@jbr.indomaret.co.id;8120200992113;47;Perdagangan eceran, bukan mobil dan motor;Perdagangan dan Reparasi;800000;56;0
31;Jawa Timur;Probolinggo;INDOMARCO PRISMATAMA;PMDN;Indonesia;2022;4;Jalan Ancol Barat I Nomor 9-10;dbmadm@jbr.indomaret.co.id;8120200992113;47;Perdagangan eceran, bukan mobil dan motor;Perdagangan dan Reparasi;400000;28;14
32;Jawa Timur;Probolinggo;INDOMARCO PRISMATAMA (CABANG PALEMBANG);PMDN;Indonesia;2022;2;Jl. Pangeran Ayin RT.005 RW.003 Kel. Sukamaju Kec. Sako;dbmadm@jbr.indomaret.co.id;8120200992113;47;Perdagangan eceran, bukan mobil dan motor;Perdagangan dan Reparasi;100000;7;7
33;Jawa Timur;Probolinggo;INDOMARCO PRISMATAMA (CABANG PALEMBANG);PMDN;Indonesia;2022;3;Jl. Pangeran Ayin RT.005 RW.003 Kel. Sukamaju Kec. Sako;dbmadm@jbr.indomaret.co.id;8120200992113;47;Perdagangan eceran, bukan mobil dan motor;Perdagangan dan Reparasi;100000;7;0
34;Jawa Timur;Probolinggo;INDOMARCO PRISMATAMA (CABANG PALEMBANG);PMDN;Indonesia;2022;4;Jl. Pangeran Ayin RT.005 RW.003 Kel. Sukamaju Kec. Sako;dbmadm@jbr.indomaret.co.id;8120200992113;47;Perdagangan eceran, bukan mobil dan motor;Perdagangan dan Reparasi;200000;14;7
35;Jawa Timur;Probolinggo;JAGANNATHA ELANG PRATAMA;PMDN;Indonesia;2022;3;DUSUN STASIUN;jagannathaelangpratama@gmail.com;8120108812181;10;Industri makanan;Industri Makanan;425000000;29617;8
36;Jawa Timur;Probolinggo;JAGANNATHA ELANG PRATAMA;PMDN;Indonesia;2022;3;DUSUN STASIUN;jagannathaelangpratama@gmail.com;8120108812181;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;2156000000;150243;0
37;Jawa Timur;Probolinggo;JAGANNATHA ELANG PRATAMA;PMDN;Indonesia;2022;4;DUSUN STASIUN;jagannathaelangpratama@gmail.com;8120108812181;10;Industri makanan;Industri Makanan;0;0;0
38;Jawa Timur;Probolinggo;JAGANNATHA ELANG PRATAMA;PMDN;Indonesia;2022;4;DUSUN STASIUN;jagannathaelangpratama@gmail.com;8120108812181;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;2767800000;192878;30
39;Jawa Timur;Probolinggo;JASAMARGA PROBOLINGGO BANYUWANGI;PMDN;Indonesia;2022;1;Gedung PT Jasa Marga (Persero) Tbk. Plaza Tol Taman Mini Indoesia Indah Jalan Dukuh VI;magnesagni@gmail.com;220307390396;42;Konstruksi bangunan sipil;Konstruksi;3,46924E+11;24175775;0
40;Jawa Timur;Probolinggo;JASAMARGA PROBOLINGGO BANYUWANGI;PMDN;Indonesia;2022;2;Gedung PT Jasa Marga (Persero) Tbk. Plaza Tol Taman Mini Indoesia Indah Jalan Dukuh VI;magnesagni@gmail.com;220307390396;42;Konstruksi bangunan sipil;Konstruksi;48535300000;3382238;0
41;Jawa Timur;Probolinggo;JAWA LILY FURNITURE;PMA;Korea Selatan;2022;3;-;;8120000821381;31;Industri furnitur;Industri Lainnya;1,59078E+11;11085600;0
42;Jawa Timur;Probolinggo;JAWA LILY FURNITURE;PMA;Korea Selatan;2022;4;-;;8120000821381;31;Industri furnitur;Industri Lainnya;0;0;0
43;Jawa Timur;Probolinggo;JAWA LILY FURNITURE;PMA;Korea Selatan;2022;4;-;ptjawalilyfurniturewm@gmail.com;8120000821381;31;Industri furnitur;Industri Lainnya;0;0;0
44;Jawa Timur;Probolinggo;JAWA POWER;PMA;Jerman;2022;1;Gedung Summitmas II, Lantai 20rnJl. Jend. Sudirman Kav.61-62;herlina.poespowati@jawapower.co.id;8120000980479;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;22569683151;1572800;0
45;Jawa Timur;Probolinggo;JAWA POWER;PMA;Jerman;2022;2;Gedung Summitmas II, Lantai 20rnJl. Jend. Sudirman Kav.61-62;herlina.poespowati@jawapower.co.id;8120000980479;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;86748612844;6045200;0
46;Jawa Timur;Probolinggo;JAWA POWER;PMA;Jerman;2022;3;Gedung Summitmas II, Lantai 20rnJl. Jend. Sudirman Kav.61-62;herlina.poespowati@jawapower.co.id;8120000980479;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;4296388182;299400;0
47;Jawa Timur;Probolinggo;KHARIESMA PRATAMA;PMDN;Indonesia;2022;1;JALAN RAYA TAMBAKREJO NOMOR 75;dariw00530@gmail.com;9120108971223;71;"Aktivitas arsitektur dan keinsinyuran; analisis dan uji teknis";Jasa Lainnya;10000000;697;1
48;Jawa Timur;Probolinggo;KLASEMAN;PMDN;Indonesia;2022;3;JL. RAYA KARANGPRANTI KM. 17;klasemanpt@gmail.com;9120112162709;16;Industri kayu, barang dari kayu dan gabus (tidak termasuk furnitur) dan barang anyaman dari bambu, rotan dan sejenisnya;Industri Kayu;2850000000;198606;19
49;Jawa Timur;Probolinggo;MALINDO FEEDMILL;PMA;Singapura;2022;1;KOMPLEK GOLDEN PLAZA BLOK G NO. 17-22, JL. RS. FATMAWATI NO. 15;legal@malindofeedmill.co.id;8120001761284;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;258300036;18000;0
50;Jawa Timur;Probolinggo;MALINDO FEEDMILL;PMA;Singapura;2022;2;KOMPLEK GOLDEN PLAZA BLOK G NO. 17-22, JL. RS. FATMAWATI NO. 15;legal@malindofeedmill.co.id;8120001761284;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;1343159889;93600;0
51;Jawa Timur;Probolinggo;MALINDO FEEDMILL;PMA;Singapura;2022;3;KOMPLEK GOLDEN PLAZA BLOK G NO. 17-22, JL. RS. FATMAWATI NO. 15;legal@malindofeedmill.co.id;8120001761284;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;865304634;60300;0
52;Jawa Timur;Probolinggo;MALINDO FEEDMILL;PMA;Singapura;2022;4;KOMPLEK GOLDEN PLAZA BLOK G NO. 17-22, JL. RS. FATMAWATI NO. 15;legal@malindofeedmill.co.id;8120001761284;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;229600113;16000;0
53;Jawa Timur;Probolinggo;MEDIAPRO SARANA KOMUNIKA;PMDN;Indonesia;2022;1;DUSUN KRAJAN;mediaprosaranakomunika@gmail.com;1206000631962;61;Telekomunikasi;Transportasi, Gudang dan Telekomunikasi;0;0;0
54;Jawa Timur;Probolinggo;PAITON ENERGY;PMA;Belanda;2022;1;Jln. Asia Afrika No. 8;epuspaedi@paitonenergy.com;289/T/PERTAMBANGAN/2000;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;0;0;0
55;Jawa Timur;Probolinggo;PAITON ENERGY;PMA;Belanda;2022;1;Jln. Asia Afrika No. 8;epuspaedi@paitonenergy.com;31-12/20/600.3/2009;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;0;0;0
56;Jawa Timur;Probolinggo;PAITON ENERGY;PMA;Belanda;2022;2;Jln. Asia Afrika No. 8;epuspaedi@paitonenergy.com;8120107981887;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;0;0;0
57;Jawa Timur;Probolinggo;PAITON ENERGY;PMA;Belanda;2022;2;Jln. Asia Afrika No. 8;epuspaedi@paitonenergy.com;8120107981887;61;Telekomunikasi;Transportasi, Gudang dan Telekomunikasi;0;0;0
58;Jawa Timur;Probolinggo;PAITON ENERGY;PMA;Belanda;2022;3;Jln. Asia Afrika No. 8;epuspaedi@paitonenergy.com;8120107981887;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;0;0;2
59;Jawa Timur;Probolinggo;PAITON ENERGY;PMA;Belanda;2022;4;Jln. Asia Afrika No. 8;epuspaedi@paitonenergy.com;8120107981887;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;0;0;0
60;Jawa Timur;Probolinggo;PAITON OPERATION AND MAINTENANCE INDONESIA;PMA;Singapura;2022;1;Jalan Raya Surabaya -Situbondo KM 141,Desa Sukodadi, Kecamatan Paiton, Kabupaten Probolinggo, Jawa Timur;irotomo@pomi.co.id;9120201312929;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;0;0;0
61;Jawa Timur;Probolinggo;PAITON OPERATION AND MAINTENANCE INDONESIA;PMA;Singapura;2022;3;Jalan Raya Surabaya -Situbondo KM 141,Desa Sukodadi, Kecamatan Paiton, Kabupaten Probolinggo, Jawa Timur;irotomo@pomi.co.id;9120201312929;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;64859102556;4519800;12
62;Jawa Timur;Probolinggo;PAITON OPERATION AND MAINTENANCE INDONESIA;PMA;Singapura;2022;4;Jalan Raya Surabaya -Situbondo KM 141,Desa Sukodadi, Kecamatan Paiton, Kabupaten Probolinggo, Jawa Timur;irotomo@pomi.co.id;9120201312929;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;55234612260;3849100;6
63;Jawa Timur;Probolinggo;PEMBANGKITAN JAWA-BALI;PMDN;Indonesia;2022;1;JL. KETINTANG BARU NO.11, KETINTANG, GAYUNGAN;fadhil.fishabilillah@gmail.com;8120002971007;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;53570200000;3733103;0
64;Jawa Timur;Probolinggo;PEMBANGKITAN JAWA-BALI;PMDN;Indonesia;2022;2;JL. KETINTANG BARU NO.11, KETINTANG, GAYUNGAN;fadhila.fishabilillah@ptpjb.com;8120002971007;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;4261000000;296933;0
65;Jawa Timur;Probolinggo;PEMBANGKITAN JAWA-BALI;PMDN;Indonesia;2022;4;JL. KETINTANG BARU NO.11, KETINTANG, GAYUNGAN;elpinkurniawan1@gmail.com;8120002971007;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;1760500000;122683;1
66;Jawa Timur;Probolinggo;PERKEBUNAN NUSANTARA XI;PMDN;Indonesia;2022;3;JL. MERAK NO.1;hukum.ptpn11@gmail.com;1225000533319;10;Industri makanan;Industri Makanan;10769400000;750478;0
67;Jawa Timur;Probolinggo;PERKEBUNAN NUSANTARA XI;PMDN;Indonesia;2022;4;JL. MERAK NO.1;hukum.ptpn11@gmail.com;1225000533319;10;Industri makanan;Industri Makanan;0;0;0
68;Jawa Timur;Probolinggo;PERMATA CITRANUSA;PMA;R.R. Tiongkok;2022;1;JL. TANJUNGSARI NO 24;permatacitrasby@gmail.com;532/1/IU/I/PMA/KELAUTAN DAN PERIKANAN/2012;3;Perikanan;Perikanan;0;0;0
69;Jawa Timur;Probolinggo;PERMATA CITRANUSA;PMA;R.R. Tiongkok;2022;3;JL. TANJUNGSARI NO 24;permatacitrasby@gmail.com;8120018052252;3;Perikanan;Perikanan;2000389154;139400;0
70;Jawa Timur;Probolinggo;PERUSAHAAN PERDAGANGAN INDONESIA;PMDN;Indonesia;2022;3;JALAN MALAKA NOMOR 7-9,;john_therik@ptppi.co.id;8120304830221;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;0;0;0
71;Jawa Timur;Probolinggo;PERUSAHAAN ROKOK TJAP GUDANG GARAM;PMDN;Indonesia;2022;2;JL. SEMAMPIR II/1, SEMAMPIR;nyoman.samadhi@gudanggaramtbk.com;8120000961884;12;Industri pengolahan tembakau;Industri Makanan;0;0;0
72;Jawa Timur;Probolinggo;PERUSAHAAN ROKOK TJAP GUDANG GARAM;PMDN;Indonesia;2022;3;Jl. Semampir II/1, Kediri - Jawa Timur 64121;nyoman.samadhi@gudanggaramtbk.com;8120000961884;12;Industri pengolahan tembakau;Industri Makanan;0;0;0
73;Jawa Timur;Probolinggo;PERUSAHAAN ROKOK TJAP GUDANG GARAM;PMDN;Indonesia;2022;4;Jl. Semampir II/1, Kediri - Jawa Timur 64121;nyoman.samadhi@gudanggaramtbk.com;8120000961884;12;Industri pengolahan tembakau;Industri Makanan;0;0;0
74;Jawa Timur;Probolinggo;PROBOLINGGO BIG POWER;PMA;R.R. Tiongkok;2022;3;DUSUN LUMBANG;ptprobolinggobigpower@gmail.com;9120117211204;10;Industri makanan;Industri Makanan;0;0;0
75;Jawa Timur;Probolinggo;PROBOLINGGO BIG POWER;PMA;R.R. Tiongkok;2022;3;DUSUN LUMBANG;ptprobolinggobigpower@gmail.com;9120117211204;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;0;0;0
76;Jawa Timur;Probolinggo;PROBOLINGGO BIG POWER;PMA;R.R. Tiongkok;2022;4;DUSUN LUMBANG;ptprobolinggobigpower@gmail.com;9120117211204;10;Industri makanan;Industri Makanan;0;0;0
77;Jawa Timur;Probolinggo;PROBOLINGGO BIG POWER;PMA;R.R. Tiongkok;2022;4;DUSUN LUMBANG;ptprobolinggobigpower@gmail.com;9120117211204;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;0;0;0
78;Jawa Timur;Probolinggo;SANTOSA AGRINDO;PMDN;Indonesia;2022;1;Wisma Millenia Lantai 6 Jl MT Haryono Kav 16;mudawamah@japfa.com;8120201840519;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;0;0;0
79;Jawa Timur;Probolinggo;SANTOSA AGRINDO;PMDN;Indonesia;2022;3;Wisma Millenia Lantai 6 Jl MT Haryono Kav 16;mudawamah@japfa.com;8120201840519;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;0;0;0
80;Jawa Timur;Probolinggo;SANTOSA AGRINDO;PMDN;Indonesia;2022;4;Wisma Millenia Lantai 6 Jl MT Haryono Kav 16;mudawamah@japfa.com;8120201840519;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;0;0;0
81;Jawa Timur;Probolinggo;SASA INTI;PMA;Singapura;2022;1;JL.RAYA DESA SEBAUNG GENDING, KECAMATAN GENDING;alexander.wicaksono@rodamas.co.id;566/T/INDUSTRI/1996;10;Industri makanan;Industri Makanan;427630060;29800;190
82;Jawa Timur;Probolinggo;SASA INTI;PMA;Singapura;2022;4;JL.RAYA DESA SEBAUNG GENDING, KECAMATAN GENDING;alexander.wicaksono@rodamas.co.id;8120201991778;10;Industri makanan;Industri Makanan;401800198;28000;1
83;Jawa Timur;Probolinggo;SEMEN INDONESIA DISTRIBUTOR;PMDN;Indonesia;2022;3;JL. DR. WAHIDIN SUDIROHUSODO NO. 728-A;sidistributor728a@gmail.com;8120414001389;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;35600000;2481;0
84;Jawa Timur;Probolinggo;SEMESTA INDIRA MAKMUR;PMDN;Indonesia;2022;1;Komplek Duta Merlin Blok C 35-36 JL Gajah Mada 3-5;dhlesmana@gmail.com;1403220064107;55;Penyediaan akomodasi;Hotel dan Restoran;237500000;16550;0
85;Jawa Timur;Probolinggo;SINAR FATIM UTAMA;PMDN;Indonesia;2022;1;Jalan Raya Klaseman 45;sinarfatimu45@gmail.com;8120010110255;16;Industri kayu, barang dari kayu dan gabus (tidak termasuk furnitur) dan barang anyaman dari bambu, rotan dan sejenisnya;Industri Kayu;3000000000;209059;15
86;Jawa Timur;Probolinggo;SUKAMTO;PMDN;Indonesia;2022;4;JAJAR, RT 014 RW 005;sukamtolumbang@gmail.com;912220045305;8;Pertambangan dan penggalian lainnya;Pertambangan;0;0;0
87;Jawa Timur;Probolinggo;SULFATAMA KENCANA;PMDN;Indonesia;2022;3;JL. TELUK KUMAI BARAT NO. 70 SURABAYA;;8120313222304;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;17500000;1220;0
88;Jawa Timur;Probolinggo;TIRTAKENCANA TATAWARNA;PMDN;Indonesia;2022;1;Jalan Raya Surabaya-Sidoarjo KM 19;tiirtakencanatatawarnasby@gmail.com;8120006842394;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;335900000;23408;25
89;Jawa Timur;Probolinggo;TIRTAKENCANA TATAWARNA;PMDN;Indonesia;2022;3;Jalan Raya Surabaya-Sidoarjo KM 19;tirtakencanatatawarnasby@gmail.com;8120006842394;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;3700000;258;0
90;Jawa Timur;Probolinggo;TRANS- JAWA PASPRO JALAN- TOL;PMDN;Indonesia;2022;2;Gedung Waskita Rajawali Tower Lantai 7, Jalan Mas Tirtodadrmo Haryono Kaveling 12-13, Kelurahan Bidara Cina, Kecamatan Jatinegara, Jakarta Timur - 13330.;dianchristian.paspro@gmail.com;8120212082339;52;Pergudangan dan aktivitas penunjang angkutan;Transportasi, Gudang dan Telekomunikasi;1,23772E+11;8625222;0
91;Jawa Timur;Probolinggo;TRANS- JAWA PASPRO JALAN- TOL;PMDN;Indonesia;2022;4;Gedung Waskita Rajawali Tower Lantai 7, Jalan Mas Tirtodadrmo Haryono Kaveling 12-13, Kelurahan Bidara Cina, Kecamatan Jatinegara, Jakarta Timur - 13330.;pasprojalantol@gmail.com;8120212082339;52;Pergudangan dan aktivitas penunjang angkutan;Transportasi, Gudang dan Telekomunikasi;1,23472E+11;8604333;30
92;Jawa Timur;Probolinggo;WASKITA BETON PRECAST;PMDN;Indonesia;2022;1;JALAN MT HARYONO NOMOR 10;rizkyyewbp@gmail.com;8120019072461;23;Industri barang galian bukan logam;Industri Mineral Non Logam;0;0;0
93;Jawa Timur;Probolinggo;WASKITA BETON PRECAST Tbk.;PMDN;Indonesia;2022;3;Gd. Teraskita Lt. 3A Jl. MT. Haryono Kav. 10 A RT. 011RW. 011, Kelurahan Cipinang Cempedak, Kecamatan Jatinegara;admin.wsbp@waskitaprecast.co.id;8120019072461;23;Industri barang galian bukan logam;Industri Mineral Non Logam;0;0;0
94;Jawa Timur;Probolinggo;YTL JAWA TIMUR;PMA;Belanda;2022;1;JL. RAYA SURABAYA-SITUBONDO KM.141;;8120013001358;35;Pengadaan listrik, gas, uap/air panas dan udara dingin;Listrik, Gas dan Air;0;0;0
